[-5, 7, 23, 5, 3, -12, -29, 21, 54, 35, 0]
[-5, 7, 5, 23, 3, -12, -29, 21, 54, 35, 0]
[-5, 7, 5, 3, 23, -12, -29, 21, 54, 35, 0]
[-5, 7, 5, 3, -12, 23, -29, 21, 54, 35, 0]
[-5, 7, 5, 3, -12, -29, 23, 21, 54, 35, 0]
[-5, 7, 5, 3, -12, -29, 21, 23, 54, 35, 0]
[-5, 7, 5, 3, -12, -29, 21, 23, 35, 54, 0]
[-5, 7, 5, 3, -12, -29, 21, 23, 35, 0, 54]
[-5, 5, 7, 3, -12, -29, 21, 23, 35, 0, 54]
[-5, 5, 3, 7, -12, -29, 21, 23, 35, 0, 54]
[-5, 5, 3, -12, 7, -29, 21, 23, 35, 0, 54]
[-5, 5, 3, -12, -29, 7, 21, 23, 35, 0, 54]
[-5, 5, 3, -12, -29, 7, 21, 23, 0, 35, 54]
[-5, 3, 5, -12, -29, 7, 21, 23, 0, 35, 54]
[-5, 3, -12, 5, -29, 7, 21, 23, 0, 35, 54]
[-5, 3, -12, -29, 5, 7, 21, 23, 0, 35, 54]
[-5, 3, -12, -29, 5, 7, 21, 0, 23, 35, 54]
[-5, -12, 3, -29, 5, 7, 21, 0, 23, 35, 54]
[-5, -12, -29, 3, 5, 7, 21, 0, 23, 35, 54]
[-5, -12, -29, 3, 5, 7, 0, 21, 23, 35, 54]
[-12, -5, -29, 3, 5, 7, 0, 21, 23, 35, 54]
[-12, -29, -5, 3, 5, 7, 0, 21, 23, 35, 54]
[-12, -29, -5, 3, 5, 0, 7, 21, 23, 35, 54]
[-29, -12, -5, 3, 5, 0, 7, 21, 23, 35, 54]
[-29, -12, -5, 3, 0, 5, 7, 21, 23, 35, 54]
[-29, -12, -5, 0, 3, 5, 7, 21, 23, 35, 54]
